sku;id;nome;marca;expressao;categoria;subcategoria;tipo;pais;teor_alcoolico;embalagem;volume_ml;volume;preco_unitario;preco_por_litro;unidades_por_caixa;ean;imagem_status;confirmar_antes_de_publicar;confirmar_se_sobrar_tempo
MC-RM-003;rm-3;Rum Bacardi Gold;Bacardi;Carta Oro / Gold;Gin, Tequila e Rum;Rum;Rum dourado;Brasil;;Garrafa de vidro;980;980ml;55,00;56,12;;;ok;;abv | origem
MC-RM-004;rm-4;Rum Bacardi Limon;Bacardi;Limón;Gin, Tequila e Rum;Rum Saborizado;Bebida à base de rum com limão;Brasil;;Garrafa de vidro;980;980ml;55,00;56,12;;;pendente;;abv | origem
MC-RM-005;rm-5;Rum Malibu Coconut;Malibu;Coconut;Gin, Tequila e Rum;Rum Saborizado;Licor de rum com coco;Barbados;21;Garrafa de vidro;750;750ml;69,90;93,20;;;ok;;
MC-RM-006;rm-6;Rum Montilla Carta Cristal;Montilla;Carta Cristal;Gin, Tequila e Rum;Rum;Rum branco nacional;Brasil;;Garrafa de vidro;1000;1L;36,90;36,90;;;ok;;abv
MC-RM-007;rm-7;Rum Montilla Carta Ouro;Montilla;Carta Ouro;Gin, Tequila e Rum;Rum;Rum dourado nacional;Brasil;38;Garrafa de vidro;1000;1L;36,90;36,90;;;ok;;
MC-RM-008;rm-8;Steinhaeger Doble W;Doble W;;Gin, Tequila e Rum;Steinhäger;Steinhäger;Brasil;;Garrafa de vidro;900;900ml;52,90;58,78;;;pendente;;abv | fabricante | origem
MC-LC-001;lc-1;Aperitivo Aperol Spritz;Aperol;;Licores e Aperitivos;Aperitivo;Aperitivo italiano;Itália;11;Garrafa de vidro;750;750ml;64,50;86,00;;;ok;variante;
MC-LC-002;lc-2;Licor 43 Cuarenta y Tres;Licor 43;Cuarenta y Tres;Licores e Aperitivos;Licor de Frutas;Licor de baunilha e cítricos;Espanha;31;Garrafa de vidro;700;700ml;169,90;242,71;;;pendente;;
MC-LC-003;lc-3;Licor 43 Chocolate Edition;Licor 43;Chocolate Edition;Licores e Aperitivos;Licor Cremoso;Licor de chocolate e baunilha;Espanha;;Garrafa de vidro;700;700ml;180,00;257,14;;;ok;;abv
MC-LC-004;lc-4;Licor Amarula Cream;Amarula;Cream;Licores e Aperitivos;Licor Cremoso;Licor cremoso de marula;África do Sul;17;Garrafa de vidro;750;750ml;99,90;133,20;;;ok;;
MC-LC-005;lc-5;Licor Amaretto Dell Orso;Dell Orso;Amaretto;Licores e Aperitivos;Licor de Frutas;Licor de amêndoa;;28;Garrafa de vidro;700;700ml;99,80;142,57;;;ok;;origem | fabricante
MC-LC-006;lc-6;Licor Don Luiz Doce de Leite;Don Luiz;Doce de Leite;Licores e Aperitivos;Licor Cremoso;Licor cremoso de doce de leite;;13;Garrafa de vidro;750;750ml;89,90;119,87;;;ok;;origem | fabricante
MC-LC-007;lc-7;Licor Cointreau Liqueur;Cointreau;;Licores e Aperitivos;Licor de Frutas;Triple sec;França;40;Garrafa de vidro;700;700ml;169,90;242,71;;;ok;;
MC-LC-008;lc-8;Licor Jagermeister Herb;Jägermeister;;Licores e Aperitivos;Licor de Ervas;Licor de ervas;Alemanha;35;Garrafa de vidro;700;700ml;159,90;228,43;;;ok;;
MC-LC-009;lc-9;Licor Stock (Todos os Sabores);Stock;Sortido;Licores e Aperitivos;Licor de Frutas;Licor nacional (linha de sabores);Brasil;;Garrafa de vidro;700;700ml;59,90;85,57;;;pendente;sabores_disponiveis;abv
MC-CC-001;cc-1;Cachaça 51 Pirassununga;51;Pirassununga;Cachaça, Conhaque, Cerveja e Espumante;Cachaça;Cachaça;Brasil;40;Garrafa de vidro;965;965ml;18,90;19,59;;;ok;;
MC-CC-002;cc-2;Cachaça Velho Barreiro;Velho Barreiro;;Cachaça, Conhaque, Cerveja e Espumante;Cachaça;Cachaça;Brasil;39;Garrafa de vidro;910;910ml;17,49;19,22;;;ok;;fabricante
MC-CC-003;cc-3;Cachaça Ypióca Brasilizar Ouro;Ypióca;Brasilizar Ouro;Cachaça, Conhaque, Cerveja e Espumante;Cachaça;Cachaça envelhecida;Brasil;;Garrafa de vidro;965;965ml;32,50;33,68;;;ok;;abv
MC-CC-004;cc-4;Cachaça Ypióca Brasilizar Prata;Ypióca;Brasilizar Prata;Cachaça, Conhaque, Cerveja e Espumante;Cachaça;Cachaça branca;Brasil;;Garrafa de vidro;965;965ml;32,50;33,68;;;pendente;;abv
MC-CC-005;cc-5;Cachaça Casa Bucco Artesanal;Casa Bucco;Artesanal;Cachaça, Conhaque, Cerveja e Espumante;Cachaça Artesanal;Cachaça artesanal;Brasil;;Garrafa de vidro;750;750ml;65,00;86,67;;;pendente;;abv | regiao | envelhecimento
MC-CC-006;cc-6;Conhaque Domecq;Domecq;;Cachaça, Conhaque, Cerveja e Espumante;Conhaque;Conhaque / brandy nacional;Brasil;36;Garrafa de vidro;1000;1L;55,00;55,00;;;ok;;fabricante
MC-CC-007;cc-7;Conhaque Dreher;Dreher;;Cachaça, Conhaque, Cerveja e Espumante;Conhaque;Conhaque nacional;Brasil;38;Garrafa de vidro;900;900ml;30,00;33,33;;;ok;;
MC-CC-008;cc-8;Conhaque Presidente;Presidente;;Cachaça, Conhaque, Cerveja e Espumante;Conhaque;Conhaque nacional;Brasil;35;Garrafa de vidro;900;900ml;20,00;22,22;;;ok;;fabricante
MC-CV-001;cv-1;Cerveja Norteña Garrafa;Norteña;Garrafa;Cachaça, Conhaque, Cerveja e Espumante;Cerveja;Cerveja lager uruguaia;Uruguai;;Garrafa de vidro;960;960ml;28,00;29,17;;;pendente;;abv | fabricante
MC-CV-002;cv-2;Cerveja Norteña Latão;Norteña;Latão;Cachaça, Conhaque, Cerveja e Espumante;Cerveja;Cerveja lager uruguaia;Uruguai;;Lata;473;473ml;8,90;18,82;;;pendente;;abv | fabricante
MC-CV-003;cv-3;Cerveja Patricia Garrafa;Patricia;Garrafa;Cachaça, Conhaque, Cerveja e Espumante;Cerveja;Cerveja lager uruguaia;Uruguai;;Garrafa de vidro;960;960ml;23,50;24,48;;;pendente;;abv | fabricante
MC-CV-004;cv-4;Cerveja Patricia Latão;Patricia;Latão;Cachaça, Conhaque, Cerveja e Espumante;Cerveja;Cerveja lager uruguaia;Uruguai;;Lata;473;473ml;6,90;14,59;;;pendente;;abv | fabricante
MC-CV-005;cv-5;Cerveja Pilsen Garrafa;Pilsen;Garrafa;Cachaça, Conhaque, Cerveja e Espumante;Cerveja;Cerveja lager;;;Garrafa de vidro;960;960ml;23,50;24,48;;;pendente;marca_exata;origem | abv
MC-CV-006;cv-6;Cerveja Zillertal Garrafa;Zillertal;Garrafa;Cachaça, Conhaque, Cerveja e Espumante;Cerveja;Cerveja lager uruguaia;Uruguai;;Garrafa de vidro;970;970ml;30,00;30,93;;;pendente;;abv | fabricante
MC-CV-007;cv-7;Cerveja Zillertal Latão;Zillertal;Latão;Cachaça, Conhaque, Cerveja e Espumante;Cerveja;Cerveja lager uruguaia;Uruguai;;Lata;473;473ml;8,90;18,82;;;pendente;;abv | fabricante
MC-ES-001;es-1;Espumante Salton Brut;Salton;Brut;Cachaça, Conhaque, Cerveja e Espumante;Espumante;Espumante brut;Brasil;;Garrafa de vidro;750;750ml;35,90;47,87;;;pendente;;abv
MC-ES-002;es-2;Espumante Salton Series (Todas Variedades);Salton;Série (todas as variedades);Cachaça, Conhaque, Cerveja e Espumante;Espumante;Espumante (linha de variedades);Brasil;;Garrafa de vidro;750;750ml;23,50;31,33;;;pendente;variedades_disponiveis;abv
MC-VB-001;vb-1;Brasilberg Original Aperitivo;Brasilberg;Original;Vermouth e Bitter;Aperitivo;Aperitivo;Brasil;42;Garrafa de vidro;920;920ml;66,90;72,72;;;ok;;fabricante | perfil
MC-VB-002;vb-2;Bitter Campari Red;Campari;Bitter;Vermouth e Bitter;Bitter;Bitter italiano;Brasil;;Garrafa de vidro;998;998ml;69,90;70,04;;;ok;;abv
MC-VB-003;vb-3;Vermouth Martini Bianco;Martini;Bianco;Vermouth e Bitter;Vermouth;Vermute branco doce;Itália;16;Garrafa de vidro;750;750ml;50,00;66,67;;;ok;;
MC-VB-004;vb-4;Vermouth Martini Extra Dry;Martini;Extra Dry;Vermouth e Bitter;Vermouth;Vermute seco;Itália;16;Garrafa de vidro;750;750ml;50,00;66,67;;;ok;;
MC-VB-005;vb-5;Vermouth Martini Rosato;Martini;Rosato;Vermouth e Bitter;Vermouth;Vermute rosado;Itália;16;Garrafa de vidro;750;750ml;50,00;66,67;;;ok;;
MC-VB-006;vb-6;Vermouth Martini Rosso;Martini;Rosso;Vermouth e Bitter;Vermouth;Vermute tinto doce;Itália;16;Garrafa de vidro;750;750ml;50,00;66,67;;;ok;;
MC-EN-001;en-1;Energético Baly Tradicional;Baly;Tradicional;Energéticos;Energético;Bebida energética;Brasil;0;Garrafa PET;2000;2L;11,90;5,95;;;pendente;;
MC-EN-002;en-2;Energético Baly Frutas Tropicais;Baly;Frutas Tropicais;Energéticos;Energético;Bebida energética;Brasil;0;Garrafa PET;2000;2L;11,90;5,95;;;pendente;;
MC-EN-003;en-3;Energético Baly Maçã Verde;Baly;Maçã Verde;Energéticos;Energético;Bebida energética;Brasil;0;Garrafa PET;2000;2L;11,90;5,95;;;pendente;;
MC-EN-004;en-4;Energético Baly Melancia;Baly;Melancia;Energéticos;Energético;Bebida energética;Brasil;0;Garrafa PET;2000;2L;11,90;5,95;;;pendente;;
MC-EN-005;en-5;Energético Baly Morango e Pêssego;Baly;Morango e Pêssego;Energéticos;Energético;Bebida energética;Brasil;0;Garrafa PET;2000;2L;11,90;5,95;;;pendente;;
MC-EN-006;en-6;Energético Red Bull Energy Drink;Red Bull;Energy Drink;Energéticos;Energético;Bebida energética;Áustria;0;Lata;250;250ml;9,49;37,96;;;pendente;;
MC-EN-007;en-7;Energético Red Bull Tropical Edition;Red Bull;Tropical Edition;Energéticos;Energético;Bebida energética saborizada;Áustria;0;Lata;250;250ml;11,49;45,96;;;pendente;;
MC-XR-001;xr-1;Xarope Formula (Todos os Sabores);Fórmula;Sortido;Xaropes;Xarope para Bar;Xarope para bar (linha de sabores);Brasil;0;Garrafa de vidro;750;750ml;45,00;60,00;;;pendente;sabores_disponiveis | preco;
MC-XR-002;xr-2;Xarope Monin (Todos os Sabores);Monin;Sortido;Xaropes;Xarope para Bar;Xarope para bar (linha de sabores);França;0;Garrafa de vidro;700;700ml;11,90;17,00;;;pendente;sabores_disponiveis | preco;
